city,year,pop,enroll,rent,rnthsg,tothsg,avginc,lenroll,lpop,lrent,ltothsg,lrnthsg,lavginc,clenroll,clpop,clrent,cltothsg,clrnthsg,clavginc,pctstu,cpctstu,y90
14,90,73233,14887,636,13682,27954,22346,9.608243942,11.20140171,6.455198765,10.23831558,9.523836136,10.01440239,-12205.3916,-0.006437302,0.638087749,0.001682281,-0.049826622,0.028643608,20.32826805,3.75566864,1
15,80,52044,25719,210,10437,16940,10933,10.15498543,10.85984516,5.34710741,9.737433434,9.253112793,9.299541473,NA,NA,NA,NA,NA,NA,49.4178009,NA,0
15,90,60633,29886,403,13807,20983,18393,10.30514526,11.01259422,5.998936653,9.951467514,9.532931328,9.819725037,-25708.69531,0.152749062,0.651829243,0.214034081,0.279818535,0.520183563,49.28998947,-0.127811432,1
16,80,77216,13618,195,10533,27465,13459,9.519147873,11.25436211,5.272999763,10.22066784,9.262268066,9.507403374,NA,NA,NA,NA,NA,NA,17.63624191,NA,0
16,90,71305,15799,325,11562,27188,19353,9.667701721,11.17472172,5.783825397,10.21053123,9.35547924,9.870602608,-13608.33203,-0.079640388,0.510825634,-0.010136604,0.093211174,0.363199234,22.15693092,4.520689011,1
17,80,45775,20465,251,7442,14015,16104,9.92647171,10.731493,5.525453091,9.547883034,8.914895058,9.686822891,NA,NA,NA,NA,NA,NA,44.70780945,NA,0
17,90,47198,21615,404,8728,15613,24636,9.981142998,10.7621069,6.001414776,9.655858994,9.074291229,10.11196423,-20455.01953,0.030613899,0.475961685,0.10797596,0.159396172,0.425141335,45.7964325,1.088623047,1
18,80,50508,18299,234,9821,18594,14417,9.814601898,10.82988739,5.455321312,9.830594063,9.192277908,9.576163292,NA,NA,NA,NA,NA,NA,36.22990417,NA,0
18,90,59738,23508,414,12128,21951,24565,10.0650959,10.99772358,6.025866032,9.996567726,9.403271675,10.10907841,-18288.93555,0.167836189,0.57054472,0.165973663,0.210993767,0.532915115,39.35183716,3.121932983,1
19,80,52738,19308,248,9717,18773,13180,9.868274689,10.8730917,5.513428688,9.840174675,9.181632042,9.486455917,NA,NA,NA,NA,NA,NA,36.61117172,NA,0
19,90,65608,22508,415,13178,24513,22900,10.02162647,11.0914526,6.028278351,10.10695934,9.486304283,10.03889179,-19297.97852,0.218360901,0.514849663,0.266784668,0.304672241,0.552435875,34.30679321,-2.30437851,1
20,80,32644,9253,224,6743,12821,13030,9.132702827,10.3934164,5.411645889,9.458839417,8.816260338,9.475009918,NA,NA,NA,NA,NA,NA,28.3451786,NA,0
20,90,37712,12223,396,8184,14689,21531,9.411074638,10.53773403,5.981414318,9.594854355,9.009936333,9.977249146,-9243.588867,0.144317627,0.569768429,0.136014938,0.193675995,0.502239227,32.41143417,4.066255569,1
21,80,40450,8551,194,6909,14313,12195,9.053803444,10.60782146,5.267858028,9.56892395,8.840579987,9.408781052,NA,NA,NA,NA,NA,NA,21.13967896,NA,0
21,90,40641,7086,332,7893,15973,20043,8.865876198,10.61253262,5.805134773,9.678654671,8.973731995,9.90563488,-8542.133789,0.004711151,0.537276745,0.109730721,0.133152008,0.496853828,17.43559456,-3.704084396,1
22,80,219419,24732,239,36118,78581,15158,10.11585331,12.29873848,5.476463318,11.27188492,10.49454689,9.626283646,NA,NA,NA,NA,NA,NA,11.27158546,NA,0
22,90,219531,29333,354,39310,83340,21898,10.28646851,12.2992487,5.869297028,11.33068371,10.57923412,9.994150162,-24721.71289,0.000510216,0.39283371,0.05879879,0.084687233,0.367866516,13.36166668,2.090081215,1
23,80,95322,23403,257,29947,38836,14211,10.06061935,11.46501637,5.54907608,10.56710339,10.30718422,9.561771393,NA,NA,NA,NA,NA,NA,24.55151939,NA,0
23,90,95802,24364,538,27446,39405,33140,10.10086155,11.47003841,6.287858486,10.58164787,10.21997547,10.4084959,-23392.89844,0.005022049,0.738782406,0.014544487,-0.087208748,0.84672451,25.43161964,0.88010025,1
24,80,51392,32289,248,8293,12714,15000,10.38248158,10.84723759,5.513428688,9.45045948,9.023166656,9.615805626,NA,NA,NA,NA,NA,NA,62.82884598,NA,0
24,90,50677,32044,451,9024,13500,24719,10.37486553,10.83322716,6.111467361,9.510444641,9.107643127,10.11532784,-32278.625,-0.014010429,0.598038673,0.059985161,0.084476471,0.499522209,63.23184204,0.402996063,1
25,80,79722,17340,232,14092,28375,14620,9.760770798,11.28630066,5.446737289,10.25326347,9.553362846,9.590146065,NA,NA,NA,NA,NA,NA,21.75058365,NA,0
25,90,80277,18351,403,15481,29409,23207,9.817439079,11.29323864,5.998936653,10.28905582,9.647368431,10.0522089,-17330.18164,0.006937981,0.552199364,0.035792351,0.094005585,0.462062836,22.85959816,1.109014511,1
26,80,107966,35628,309,22728,38945,18316,10.48088741,11.58957195,5.733341217,10.56990528,10.031353,9.815529823,NA,NA,NA,NA,NA,NA,32.99927902,NA,0
26,90,109592,36074,568,23661,41657,33344,10.49332809,11.60451984,6.342121601,10.63722515,10.07158375,10.4146328,-35617.50781,0.014947891,0.608780384,0.06731987,0.040230751,0.599102974,32.91663742,-0.082641602,1
27,80,42566,8571,238,5756,13920,15367,9.056139946,10.65881062,5.472270489,9.541082382,8.657998085,9.639977455,NA,NA,NA,NA,NA,NA,20.13578987,NA,0
27,90,48812,11889,399,8731,17926,24004,9.383368492,10.79573154,5.98896122,9.794007301,9.074635506,10.08597565,-8561.616211,0.136920929,0.516690731,0.252924919,0.416637421,0.445998192,24.35671616,4.220926285,1
28,80,40829,7392,197,6509,14517,10983,8.908153534,10.61714745,5.283203602,9.583075523,8.78094101,9.304103851,NA,NA,NA,NA,NA,NA,18.10477829,NA,0
28,90,41882,8703,304,8569,15911,21174,9.071423531,10.6426115,5.717027664,9.674765587,9.055906296,9.960529327,-7382.928711,0.025464058,0.433824062,0.091690063,0.274965286,0.656425476,20.77980995,2.675031662,1
29,80,62061,22202,236,11666,21452,13651,10.00793743,11.03587341,5.463831902,9.973572731,9.364434242,9.521568298,NA,NA,NA,NA,NA,NA,35.77447891,NA,0
29,90,69101,22166,382,14533,25841,22059,10.00631523,11.14332485,5.945420742,10.15971756,9.584177017,10.00147629,-22191.99414,0.107451439,0.48158884,0.186144829,0.219742775,0.47990799,32.0776825,-3.696796417,1
30,80,171932,24993,231,26683,64934,17094,10.12635136,12.05485439,5.442417622,11.08112621,10.191782,9.746482849,NA,NA,NA,NA,NA,NA,14.53656101,NA,0
30,90,191972,29616,379,31584,75402,28056,10.2960701,12.16510487,5.93753624,11.23058891,10.36040592,10.24195766,-24982.70313,0.110250473,0.495118618,0.1494627,0.168623924,0.495474815,15.42724991,0.890688896,1
31,80,45086,5645,215,6423,16165,13593,8.638525009,10.71632671,5.370637894,9.690603256,8.767640114,9.517310143,NA,NA,NA,NA,NA,NA,12.5205164,NA,0
31,90,62126,9002,366,10415,23797,23648,9.105201721,11.03691959,5.90263319,10.07731438,9.251002312,10.07103348,-5635.89502,0.32059288,0.531995296,0.386711121,0.483362198,0.553723335,14.48990726,1.969390869,1
32,80,28732,14173,230,6230,9195,10294,9.559094429,10.2657671,5.438079357,9.126415253,8.737132072,9.23931694,NA,NA,NA,NA,NA,NA,49.32827377,NA,0
32,90,29541,16361,493,6839,9617,25152,9.702655792,10.29353428,6.200509071,9.171287537,8.830396652,10.13269234,-14163.29688,0.027767181,0.762429714,0.044872284,0.09326458,0.893375397,55.38404083,6.055767059,1
33,80,101727,14587,212,24737,40767,12511,9.587885857,11.53004837,5.356586456,10.61562824,10.11605549,9.434363365,NA,NA,NA,NA,NA,NA,14.33935928,NA,0
33,90,101082,17635,456,25989,42121,17738,9.777641296,11.52368736,6.12249279,10.64830208,10.16542912,9.783464432,-14577.22266,-0.006361008,0.765906334,0.032673836,0.049373627,0.349101067,17.44623184,3.106872559,1
34,80,170105,21139,210,38869,66961,12321,9.958874702,12.04417133,5.34710741,11.111866,10.56795216,9.419060707,NA,NA,NA,NA,NA,NA,12.42703056,NA,0
34,90,163860,23703,409,38280,64945,21242,10.07335663,12.00676727,6.013715267,11.08129597,10.55268288,9.96373558,-21128.92578,-0.03740406,0.666607857,-0.03057003,-0.015269279,0.544674873,14.46539688,2.038366318,1
35,80,32421,14338,256,5859,10019,15744,9.570668221,10.38656139,5.54517746,9.212238312,8.67573452,9.664215088,NA,NA,NA,NA,NA,NA,44.22442245,NA,0
35,90,38719,15359,489,8199,13780,30489,9.639456749,10.56408596,6.192362309,9.530973434,9.011767387,10.32512093,-14328.36035,0.177524567,0.647184849,0.318735123,0.336032867,0.660905838,39.66786194,-4.556560516,1
36,80,100831,14863,225,22012,37976,12845,9.606630325,11.52120113,5.416100502,10.54470921,9.999342918,9.460709572,NA,NA,NA,NA,NA,NA,14.74050617,NA,0
36,90,136611,18486,440,31270,560011,24354,9.82476902,11.824893,6.086774826,13.23571205,10.35041428,10.10045147,-14853.1748,0.303691864,0.670674324,2.691002846,0.351071358,0.639741898,13.53185368,-1.208652496,1
37,80,150255,16498,255,28181,54851,17022,9.71099472,11.92008877,5.54126358,10.91237545,10.24640369,9.742261887,NA,NA,NA,NA,NA,NA,10.9800005,NA,0
37,90,207951,29138,479,45587,85822,32451,10.27979851,12.24505806,6.171700478,11.36003113,10.72737789,10.38748646,-16487.7207,0.324969292,0.630436897,0.447655678,0.480974197,0.645224571,14.01195431,3.031953812,1
38,80,35740,10463,231,6109,11472,13471,9.255600929,10.48402596,5.442417622,9.347664833,8.717518806,9.508294106,NA,NA,NA,NA,NA,NA,29.27532196,NA,0
38,90,44972,12470,374,9849,17017,12206,9.431080818,10.71379566,5.924255848,9.741968155,9.19512558,9.409683228,-10453.56934,0.229769707,0.481838226,0.394303322,0.477606773,-0.098610878,27.72836494,-1.546957016,1
39,80,61383,8534,228,11002,23602,17065,9.051813126,11.02488804,5.429345608,10.06908703,9.305831909,9.744785309,NA,NA,NA,NA,NA,NA,13.90287209,NA,0
39,90,74111,11938,355,15647,30149,25326,9.387481689,11.21331882,5.872117996,10.31390667,9.658034325,10.13958645,-8524.612305,0.188430786,0.442772388,0.244819641,0.352202415,0.39480114,16.10827065,2.20539856,1
40,80,43765,7959,216,7468,15577,16009,8.982058525,10.68658924,5.375278473,9.653551102,8.918382645,9.680906296,NA,NA,NA,NA,NA,NA,18.18576431,NA,0
40,90,49425,10494,367,9505,18531,25456,9.258559227,10.80821133,5.905361652,9.827199936,9.159573555,10.14470673,-7949.741211,0.121622086,0.530083179,0.173648834,0.24119091,0.46380043,21.2321701,3.046405792,1
41,80,25728,13789,252,4062,7130,13521,9.531626701,10.15533543,5.529428959,8.872066498,8.309431076,9.51199913,NA,NA,NA,NA,NA,NA,53.5953064,NA,0
41,90,28176,14394,393,4917,8502,21766,9.574566841,10.24622536,5.973809719,9.048056602,8.500453949,9.98810482,-13779.42578,0.090889931,0.44438076,0.175990105,0.191022873,0.47610569,51.08602905,-2.509277344,1
42,80,26164,10030,248,5311,8655,13891,9.213335991,10.17214012,5.513428688,9.06589222,8.577535629,9.538996696,NA,NA,NA,NA,NA,NA,38.33511734,NA,0
42,90,28835,12611,401,5404,8808,21463,9.442324638,10.26934528,5.993961334,9.083415985,8.594894409,9.974085808,-10020.55762,0.097205162,0.480532646,0.017523766,0.01735878,0.435089111,43.73504257,5.399925232,1
43,80,68020,16689,244,11109,24831,15555,9.722505569,11.1275568,5.497168064,10.11984825,9.31551075,9.652137756,NA,NA,NA,NA,NA,NA,24.53543091,NA,0
43,90,80071,17751,362,15623,31907,25165,9.784196854,11.29066944,5.891644001,10.37058067,9.656499863,10.13320923,-16679.21484,0.16311264,0.394475937,0.250732422,0.340989113,0.481071472,22.16907501,-2.366355896,1
44,80,38268,18098,219,7027,12829,11102,9.803556442,10.55236912,5.389071941,9.45946312,8.857515335,9.314880371,NA,NA,NA,NA,NA,NA,47.29277802,NA,0
44,90,36676,14972,354,8544,14172,18501,9.613937378,10.50987816,5.869297028,9.559023857,9.052984238,9.825579643,-18088.38672,-0.042490959,0.480225086,0.099560738,0.195468903,0.510699272,40.82233429,-6.470443726,1
45,80,40960,16072,245,8292,14637,13621,9.684833527,10.62035084,5.501258373,9.59130764,9.023046494,9.519368172,NA,NA,NA,NA,NA,NA,39.23828125,NA,0
45,90,44757,15872,385,9506,16743,23212,9.672311783,10.70900345,5.953243256,9.725735664,9.159678459,10.05242443,-16062.32813,0.088652611,0.451984882,0.134428024,0.136631966,0.533056259,35.46260834,-3.775672913,1
46,80,105624,19179,249,21538,42323,14959,9.861571312,11.56764126,5.517452717,10.65308571,9.977574348,9.613068581,NA,NA,NA,NA,NA,NA,18.15780449,NA,0
46,90,112669,21440,425,22791,46274,25369,9.973013878,11.63220978,6.052089214,10.74233532,10.03412056,10.14128304,-19169.02734,0.06456852,0.534636497,0.089249611,0.056546211,0.528214455,19.02919197,0.871387482,1
47,80,564871,58499,225,111180,217150,14834,10.97676468,13.24435234,5.416100502,12.28834343,11.61890602,9.6046772,NA,NA,NA,NA,NA,NA,10.3561697,NA,0
47,90,632910,74047,422,137242,256996,26651,11.21245575,13.35808372,6.045005322,12.45681572,11.82950115,10.19058228,-58487.78906,0.113731384,0.628904819,0.16847229,0.210595131,0.585905075,11.69945145,1.343281746,1
48,80,36130,24358,266,7400,9830,9771,10.1006155,10.49487877,5.583496094,9.193194389,8.909235001,9.187173843,NA,NA,NA,NA,NA,NA,67.41765594,NA,0
48,90,38923,27717,490,8335,10938,18257,10.22980118,10.56934071,6.194405556,9.299998283,9.028219223,9.812303543,-24347.76953,0.074461937,0.610909462,0.106803894,0.118984222,0.6251297,71.20982361,3.792167664,1
49,80,101208,17326,203,16366,30436,12393,9.759963989,11.52493286,5.313206196,10.32338142,9.702960968,9.424886703,NA,NA,NA,NA,NA,NA,17.11919975,NA,0
49,90,98052,17312,392,18649,33919,23216,9.759155273,11.49325275,5.971261978,10.43173027,9.833547592,10.05259705,-17316.24023,-0.031680107,0.658055782,0.108348846,0.130586624,0.627710342,17.65593719,0.536737442,1
50,80,175030,22802,203,33499,68574,11971,10.03460312,12.0727129,5.313206196,11.13566875,10.41927052,9.390242577,NA,NA,NA,NA,NA,NA,13.02748108,NA,0
50,90,165121,21604,332,35081,69973,19923,9.980633736,12.01443386,5.805134773,11.15586472,10.465415,9.899630547,-22792.01953,-0.058279037,0.491928577,0.020195961,0.046144485,0.50938797,13.08373833,0.056257248,1
51,80,32845,6495,226,5647,11517,14295,8.778787613,10.39955521,5.420535088,9.351579666,8.638879776,9.5676651,NA,NA,NA,NA,NA,NA,19.77470016,NA,0
51,90,44922,8196,388,8971,17110,26394,9.011401176,10.71268272,5.961005211,9.747418404,9.101752281,10.18089199,-6485.98877,0.313127518,0.540470123,0.395838737,0.462872505,0.613226891,18.24495888,-1.529741287,1
52,80,37272,22555,282,8798,11967,9789,10.02371216,10.52599812,5.641907215,9.389907837,9.082280159,9.189014435,NA,NA,NA,NA,NA,NA,60.51459503,NA,0
52,90,52456,31212,428,13952,17878,9262,10.34855747,10.86773014,6.059123039,9.791326523,9.543377876,9.133675575,-22544.65234,0.341732025,0.417215824,0.401418686,0.461097717,-0.05533886,59.501297,-1.013298035,1
53,80,173979,23397,245,25130,60783,15732,10.06036282,12.06668949,5.501258373,11.01506519,10.13181782,9.663452148,NA,NA,NA,NA,NA,NA,13.44817448,NA,0
53,90,186206,28322,381,30940,69143,24130,10.25139427,12.13460922,5.942799568,11.14393234,10.33980465,10.09121132,-23386.74805,0.067919731,0.441541195,0.128867149,0.207986832,0.427759171,15.21003628,1.761861801,1
54,80,27149,7657,194,4842,9268,11713,8.943375587,10.20909595,5.267858028,9.13432312,8.48508358,9.368454933,NA,NA,NA,NA,NA,NA,28.2036171,NA,0
54,90,30872,9990,346,6584,11306,15917,9.209340096,10.33760452,5.846438885,9.333088875,8.792397499,9.675143242,-7647.790527,0.128508568,0.578580856,0.198765755,0.307313919,0.306688309,32.35942078,4.15580368,1
55,80,101261,12883,207,17571,37578,12007,9.463664055,11.52545643,5.332718849,10.53417397,9.774004936,9.393244743,NA,NA,NA,NA,NA,NA,12.72256851,NA,0
55,90,103590,16308,353,21119,39482,17852,9.699411392,11.54819584,5.866467953,10.58360004,9.957928658,9.789871216,-12873.30078,0.02273941,0.533749104,0.049426079,0.183923721,0.396626472,15.74283218,3.020263672,1
56,80,26844,7863,198,4895,9291,12693,8.969923019,10.19779778,5.288267136,9.13680172,8.495969772,9.448805809,NA,NA,NA,NA,NA,NA,29.29146194,NA,0
56,90,32762,9232,328,6293,11034,21312,9.130431175,10.39702415,5.793013573,9.308736801,8.747193336,9.967025757,-7853.869629,0.199226379,0.504746437,0.171935081,0.251223564,0.518219948,28.1789875,-1.112474442,1
57,80,74108,26926,186,11282,20083,12647,10.20084763,11.21327877,5.225746632,9.907629013,9.330964088,9.445175171,NA,NA,NA,NA,NA,NA,36.33345795,NA,0
57,90,86835,31236,336,14304,23805,21162,10.34932613,11.37176514,5.817111015,10.07765102,9.568294525,9.959962845,-26915.65039,0.158486366,0.591364384,0.170022011,0.237330437,0.514787674,35.97167206,-0.361785889,1
58,80,37312,8699,243,7415,13107,13048,9.070962906,10.52707005,5.493061543,9.480901718,8.911260605,9.476389885,NA,NA,NA,NA,NA,NA,23.31421471,NA,0
58,90,39127,9972,493,8773,14680,25523,9.207536697,10.57456779,6.200509071,9.594241142,9.079434395,10.14733505,-8689.791992,0.047497749,0.707447529,0.113339424,0.16817379,0.670945168,25.48623657,2.172021866,1
59,80,39916,8860,268,8464,15401,13942,9.089302063,10.59453297,5.590987206,9.642188072,9.043577194,9.542660713,NA,NA,NA,NA,NA,NA,22.19661331,NA,0
59,90,40341,9657,469,9215,16009,18592,9.175437927,10.60512352,6.150602818,9.680906296,9.128587723,9.830486298,-8850.824219,0.010590553,0.559615612,0.038718224,0.085010529,0.287825584,23.93842506,1.741811752,1
60,80,63684,6331,204,10637,25496,12540,8.753213882,11.06168842,5.318120003,10.14627647,9.272093773,9.436678886,NA,NA,NA,NA,NA,NA,9.941272736,NA,0
60,90,54844,7013,311,10053,23419,18276,8.855521202,10.91224766,5.739792824,10.06130314,9.215626717,9.813344002,-6322.144531,-0.149440765,0.421672821,-0.084973335,-0.056467056,0.376665115,12.78717804,2.845905304,1
61,80,27605,11768,220,5000,9628,10994,9.373139381,10.22575188,5.393627644,9.172430992,8.517192841,9.305105209,NA,NA,NA,NA,NA,NA,42.62995911,NA,0
61,90,25879,11870,355,5334,9588,18022,9.38176918,10.16118717,5.872117996,9.16826725,8.581856728,9.799348831,-11758.61816,-0.064564705,0.478490353,-0.004163742,0.064663887,0.494243622,45.86730576,3.237346649,1
62,80,51509,9610,225,7169,18359,14457,9.170559883,10.8495121,5.416100502,9.817874908,8.877521515,9.578933716,NA,NA,NA,NA,NA,NA,18.65693283,NA,0
62,90,56856,10640,352,8980,21118,24735,9.27237606,10.94827747,5.863631248,9.957880974,9.102755547,10.11597443,-9600.727539,0.098765373,0.447530746,0.140006065,0.225234032,0.53704071,18.71394348,0.057010651,1
63,80,48347,9051,220,8224,18085,13458,9.110630989,10.78615952,5.393627644,9.802838326,9.014811516,9.507328987,NA,NA,NA,NA,NA,NA,18.72091293,NA,0
63,90,51003,9961,344,10073,19970,21947,9.206432343,10.83963966,5.840641499,9.901986122,9.217614174,9.996385574,-9041.793945,0.053480148,0.447013855,0.099147797,0.202802658,0.489056587,19.53022385,0.809310913,1
64,80,170616,37475,243,34108,66451,16510,10.53142929,12.04717064,5.493061543,11.10422039,10.43728733,9.71172142,NA,NA,NA,NA,NA,NA,21.96452904,NA,0
64,90,191262,44601,472,41029,77361,29420,10.70551109,12.16139984,6.156979084,11.25623798,10.62203407,10.28942966,-37464.29297,0.114229202,0.663917542,0.152017593,0.184746742,0.577708244,23.31932068,1.354791641,1
